status,url,final_url,section,template,title,primary_heading,canonical,redirected,internal_link_count,image_count,embed_count,migration_disposition,error
"200","https://jungfrau-taechi.ch/newsfeed/wetterhorn20","https://jungfrau-taechi.ch/newsfeed/wetterhorn20","news","news","Delta-Club Jungfrau-Tächi Grindelwald","Delta-Club Jungfrau-Tächi Grindelwald","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/jacke1","https://jungfrau-taechi.ch/newsfeed/jacke1","news","news","Jacke1","Jacke1","","false","unavailable","14","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/schlittenfahrt","https://jungfrau-taechi.ch/newsfeed/schlittenfahrt","news","news","Schlittenfahrt","Schlittenfahrt","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/cschlitteln18","https://jungfrau-taechi.ch/newsfeed/cschlitteln18","news","news","CSchlitteln18","CSchlitteln18","","false","unavailable","23","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/holzerbar18","https://jungfrau-taechi.ch/newsfeed/holzerbar18","news","news","Holzerbar18","Holzerbar18","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/holzerbar18neu","https://jungfrau-taechi.ch/newsfeed/holzerbar18neu","news","news","Holzerbar18neu","Holzerbar18neu","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/jp19","https://jungfrau-taechi.ch/newsfeed/jp19","news","news","Jahresprogramm 2019 online","Jahresprogramm 2019 online","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-06","https://jungfrau-taechi.ch/newsfeed/19-06","news","news","X-Alps News Nr. 6 (21.Juni 2019; Diretissima)","X-Alps News Nr. 6 (21.Juni 2019; Diretissima)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/holz18d","https://jungfrau-taechi.ch/newsfeed/holz18d","news","news","Holz18d","Holz18d","","false","unavailable","18","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/bawuepodest","https://jungfrau-taechi.ch/newsfeed/bawuepodest","news","news","Bawuepodest","Bawuepodest","","false","unavailable","10","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/inti","https://jungfrau-taechi.ch/newsfeed/inti","news","news","inti","inti","","false","unavailable","11","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/mh2018","https://jungfrau-taechi.ch/newsfeed/mh2018","news","news","MH2018","MH2018","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/mhc18z","https://jungfrau-taechi.ch/newsfeed/mhc18z","news","news","MHC18z","MHC18z","","false","unavailable","32","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-04","https://jungfrau-taechi.ch/newsfeed/19-04","news","news","X-Alps News Nr. 4 (19. Juni: Ein Abenteuer? - Ein Rennen!)","X-Alps News Nr. 4 (19. Juni: Ein Abenteuer? - Ein Rennen!)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-05","https://jungfrau-taechi.ch/newsfeed/19-05","news","news","X-Alps News Nr5 (20 Juni 19: Backoffice","X-Alps News Nr5 (20 Juni 19: Backoffice","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/19-07","https://jungfrau-taechi.ch/newsfeed/19-07","news","news","X-Alps Newus Nr 7 (22. Juni 2019: Optionen)","X-Alps Newus Nr 7 (22. Juni 2019: Optionen)","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/eigertour","https://jungfrau-taechi.ch/newsfeed/eigertour","news","news","eigertour","eigertour","","false","unavailable","11","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/eigertour18","https://jungfrau-taechi.ch/newsfeed/eigertour18","news","news","Eigertour18","Eigertour18","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/clubesseneinladung","https://jungfrau-taechi.ch/newsfeed/clubesseneinladung","news","news","ClubessenEinladung","ClubessenEinladung","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/chrigelsiegt","https://jungfrau-taechi.ch/newsfeed/chrigelsiegt","news","news","chrigelsiegt","chrigelsiegt","","false","unavailable","11","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/herbstjagd18","https://jungfrau-taechi.ch/newsfeed/herbstjagd18","news","news","Herbstjagd18","Herbstjagd18","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/hv42d","https://jungfrau-taechi.ch/newsfeed/hv42d","news","news","HV42d","HV42d","","false","unavailable","38","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/cf18gewinner1","https://jungfrau-taechi.ch/newsfeed/cf18gewinner1","news","news","CF18Gewinner1","CF18Gewinner1","","false","unavailable","85","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/lsr13","https://jungfrau-taechi.ch/newsfeed/lsr13","news","news","lsr13","lsr13","","false","unavailable","9","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/clubausflug18","https://jungfrau-taechi.ch/newsfeed/clubausflug18","news","news","Clubausflug18","Clubausflug18","","false","unavailable","68","0","representative migration or grouped route",""
"200","https://jungfrau-taechi.ch/newsfeed/clubessen18einladung","https://jungfrau-taechi.ch/newsfeed/clubessen18einladung","news","news","Clubessen18Einladung","Clubessen18Einladung","","false","unavailable","9","0","representative migration or grouped route",""
